doc,aid,journal,year,authors,title
2966,10.2307/2172804,Population Studies,1972,P. E. Razzell,The Evaluation of Baptism as a Form of Birth Registration through Cross- Matching Census and Parish Register Data: A Study in Methodology
2967,10.2307/3115253,Population and Development Review,2001,Geoffrey McNicoll,Government and Fertility in Transitional and Post-Transitional Societies
2968,10.2307/2060338,Demography,1971,Bernard C. Rosen,Industrialization_ Family and Fertility: A Structural-Psychological Analysis of the Brazilian Case
2969,10.2307/172321,Population and Development Review,2000,Andrew Noymer,The 1918 Influenza Epidemic's Effects on Sex Differentials in Mortality in the United States
2970,10.2307/2061098,Demography,1981,Ira Rosenwaike,A Note on New Estimates of the Mortality of the Extreme Aged
2971,10.2307/2648124,Demography,2000,Kathleen McGarry,Social Security_ Economic Growth_ and the Rise in Elderly Widows' Independence in the Twentieth Century
2972,10.2307/2060297,Demography,1967,T. J. Woofter,Migration in the Southeast
2973,10.2307/2174688,Population Studies,1997,Zhenchao Qian,Progression to Second Birth in China: A Study of Four Rural Counties
2974,10.2307/2060706,Demography,1974,John Collette,Comment On C. Gibson's "Urbanization in New Zealand: A Comparative Analysis"
2975,10.2307/2648059,Demography,1999,Michael S. Rendall,Entry or Exit? A Transition-Probability Approach to Explaining the High Prevalence of Single Motherhood among Black Women
2976,10.2307/2173125,Population Studies,1962,Hugh H. Wolfenden,On the Theoretical and Practical Considerations Underlying the Direct and Indirect Standardization of Death Rates
2977,10.2307/1971611,Population and Development Review,1990,Prince Philip,Prince Philip on Population and the Conservation of Nature
2978,10.2307/2137460,Population and Development Review,1997,Rosamond Naylor,Variability and Growth in Grain Yields_ 1950-94: Does the Record Point to Greater Instability?
2979,10.2307/40646426,Population Studies,2009,Kathryn M. Yount,<b>Individual capital and cognitive ageing in Guatemala</b>
2980,10.2307/1973672,Population and Development Review,1992,,The Munich Summit on the Environment and on Population
2981,10.2307/2808155,Population and Development Review,1998,Carl Ipsen,Population Policy in the Age of Fascism: Observations on Recent Literature
2982,10.2307/40800818,Demography,2010,JULIE PARK,INTERGENERATIONAL MOBILITY IN THE POST-1965 IMMIGRATION ERA: ESTIMATES BY AN IMMIGRANT GENERATION COHORT METHOD
2983,10.2307/2173107,Population Studies,1964,,Appendix 1: Quality of the Printed Records
2984,10.2307/1972355,Population and Development Review,1991,Eileen M. Crimmins,Preference Changes Among American Youth: Family_ Work_ and Goods Aspirations_ 1976-86
2985,10.2307/2172450,Population Studies,1952,D. V. Glass,The Population Controversy in Eighteenth-Century England. Part I. The Background
2986,10.2307/2174072,Population Studies,1984,J. Hobcraft,Erratum: Fertility Exposure Analysis: A New Method for Assessing the Contribution of Proximate Determinants to Fertility Differentials
2987,10.2307/1973076,Population and Development Review,1983,[O. O. Fafowora],On the Expulsion of Illegal Migrants from Nigeria
2988,10.2307/2061716,Demography,1996,Pradip K. Muhuri,Estimating Seasonality Effects on Child Mortality in Matlab_ Bangladesh
2989,10.2307/2060303,Demography,1967,Andrέe Michel,Interaction and Family Planning in the French Urban Family
2990,10.2307/172510,Population and Development Review,1999,,CDC on Infant and Maternal Mortality in the United States: 1900-99
2991,10.2307/2584636,Population Studies,2000,Carol E. Kaufman,Reproductive Control in Apartheid South Africa
2992,10.2307/2172130,Population Studies,1948,R. D. Harding,A Note on some Vital Statistics of a Primitive Peasant Community in Sierra Leone
2993,10.2307/3004026,Demography,1998,James C. Cramer,Population Growth and Air Quality in California
2994,10.2307/2584788,Population Studies,2000,Etienne Van de Walle,'Marvellous Secrets': Birth Control in European Short Fiction_ 1150-1650
2995,10.2307/2061143,Demography,1979,Ira Rosenwaike,A New Evaluation of United States Census Data on the Extreme Aged
2996,10.2307/2952475,Population Studies,1997,Barbara S. Okun,Innovation and Adaptation in Fertility Transition: Jewish Immigrants to Israel from Muslim North Africa and the Middle East
2997,10.2307/2061821,Demography,1992,Ansley J. Coale,Age of Entry into Marriage and the Date of the Initiation of Voluntary Birth Control
2998,10.2307/2172633,Population Studies,1964,Mindel C. Sheps,On the Time Required for Conception
2999,10.2307/2061422,Demography,1991,Anju Malhotra,Gender and Changing Generational Relations: Spouse Choice in Indonesia
3000,10.2307/2808157,Population and Development Review,1998,John Hippisley,On the Populousness of Africa: An Eighteenth-Century Text
3001,10.2307/2061398,Demography,1987,K. Venkatacharya,On Some Robust Estimates of Birth Rate Under Nonstable Conditions
3002,10.2307/1515167,Demography,2004,Lynne M. Casper,Self-Care: Why Do Parents Leave Their Children Unsupervised?
3003,10.2307/2060862,Demography,1972,Elizabeth Murphy Whelan,The Temporal Relationship of Marriage_ Conception_ and Birth in Massachusetts
3004,10.2307/2060226,Demography,1968,Julian L. Simon,Some "Marketing Correct" Recommendations for Family Planning Campaigns
3005,10.2307/2060982,Demography,1985,,Errata
3006,10.2307/2172391,Population Studies,1951,Ruth Glass,Household Structure and Housing Needs
3007,10.2307/3401475,Population and Development Review,2005,Christopher Langford,Did the 1918-19 Influenza Pandemic Originate in China?
3008,10.2307/2061362,Demography,1992,Joan R. Kahn,Intergenerational Patterns of Teenage Fertility
3009,10.2307/2807961,Population and Development Review,1984,Helen Ware,Effects of Maternal Education_ Women's Roles_ and Child Care on Child Mortality
3010,10.2307/2172483,Population Studies,1954,Cicely Watson,Population Policy in France: Family Allowances and other Benefits. I
3011,10.2307/25487669,Population and Development Review,2009,Wolfgang Lutz,The Demography of Future Global Population Aging: Indicators_ Uncertainty_ and Educational Composition
3012,10.2307/2060669,Demography,1972,Jacques Legare,Methods for Measuring School Performance Through Cohort Analysis
3013,10.2307/2061415,Demography,1986,Barbara L. Devaney,An Analysis of Variations in U.S. Fertility and Female Labor Force Participation Trends: A Reply
3014,10.2307/2060247,Demography,1968,Colville Deverell,The International Planned Parenthood Federation--its Role in Developing Countries
3015,10.2307/2174588,Population Studies,1986,Th. L. M. Engelen,Fertility and Nuptiality in the Netherlands_ 1850-1960
3016,10.2307/1973543,Population and Development Review,1983,Linda G. Martin,Mortality Decline and Japanese Family Structure
3017,10.2307/2174033,Population Studies,1985,Susheela Singh,The Proximate Determinants of Fertility: Sub-national Variations
3018,10.2307/30053115,Demography,2007,John B. Casterline,The Estimation of Unwanted Fertility
3019,10.2307/2061439,Demography,1986,William R. Lavely,Age Patterns of Chinese Marital Fertility_ 1950-1981
3020,10.2307/3401353,Population and Development Review,2003,Jean-Marie Robine,Life Course_ Environmental Change_ and Life Span
3021,10.2307/2174406,Population Studies,1988,Joseph E. Potter,Birth Spacing and Child Survival: A Cautionary Note Regarding the Evidence from the WFS
3022,10.2307/2061068,Demography,1985,Clifford C. Clogg,The Effect of Changing Demographic Composition on Recent Trends in Underemployment
3023,10.2307/2060547,Demography,1972,Joseph Schachter,Net Immigration of Gainful Workers into the United States_ 1870-1930
3024,10.2307/2173611,Population Studies,1976,Francis C. Madigan,Purposive Concealment of Death in Household Surveys in Misamis Oriental Province
3025,10.2307/2172286,Population Studies,1947,Julian Blackburn,Family Size_ Intelligence Score and Social Class
3026,10.2307/1973316,Population and Development Review,1983,Ron Lesthaeghe,A Century of Demographic and Cultural Change in Western Europe: An Exploration of Underlying Dimensions
3027,10.2307/2061519,Demography,1989,Ulla Larsen,Measuring Sterility From Incomplete Birth Histories
3028,10.2307/2060767,Demography,1975,Prithwis das Gupta,A General Method of Correction for Age Misreporting in Census Populations
3029,10.2307/2061316,Demography,1988,Reynolds Farley,After the Starting Line: Blacks and Women in an Uphill Race
3030,10.2307/3180812,Demography,2003,Marika Jalovaara,The Joint Effects of Marriage Partners' Socioeconomic Positions on the Risk of Divorce
3031,10.2307/2061479,Demography,1988,Ken G. Dean,Interregional Flows of Economically Active Persons in France_ 1975-1982
3032,10.2307/2174705,Population Studies,1992,Warren M. Hern,Polygyny and Fertility among the Shipibo of the Peruvian Amazon
3033,10.2307/2061257,Demography,1989,Sonalde Desai,Mother or Market? Effects of Maternal Employment on the Intellectual Ability of 4-Year-Old Children
3034,10.2307/30053083,Demography,2008,Maria Perozek,Using Subjective Expectations to Forecast Longevity: Do Survey Respondents Know Something We Don't Know?
3035,10.2307/1971762,Population and Development Review,1977,Paul Demeny,Population Policy and the International Donor Community: A Perspective on the Next Decade
3036,10.2307/2060313,Demography,1967,Herman P. Miller,Considerations in Determining the Content of the 1970 Census
3037,10.2307/2938414,Population and Development Review,1993,Bruce A. Carnes,Evolutionary Perspectives on Human Senescence
3038,10.2307/1515204,Demography,2003,Narayan Sastry,An Investigation of Racial and Ethnic Disparities in Birth Weight in Chicago Neighborhoods
3039,10.2307/2175030,Population Studies,1996,Thomas K. LeGrand,The Effect of Fertility Reductions on Infant and Child Mortality: Evidence from Matlab in Rural Bangladesh
3040,10.2307/3092785,Population and Development Review,2002,Nancy Luke,Reactions of Developing-Country Elites to International Population Policy
3041,10.2307/2137691,Population and Development Review,1996,,Walter Bagehot on the Political Economy of Population Growth
3042,10.2307/2060314,Demography,1967,John C. Beresford,Projected Innovations in the Data Delivery System for the 1970 Census
3043,10.2307/3115256,Population and Development Review,2001,Amy Ong Tsui,Population Policies_ Family Planning Programs_ and Fertility: The Record
3044,10.2307/2173939,Population Studies,1975,Ralph H. Faulkingham,Population Dynamics and Drought: A Village in Niger
3045,10.2307/2061435,Demography,1986,Charles W. Warren,Contraceptive Sterilization in Puerto Rico
3046,10.2307/2060028,Demography,1964,Conrad Taeuber,A Preliminary Evaluation of the 1960 Censuses of Population and Housing
3047,10.2307/3115215,Population and Development Review,2000,Angus Deaton,Growth_ Demographic Structure_ and National Saving in Taiwan
3048,10.2307/2061888,Demography,1994,David A. Lam,Modeling Seasonality in Fecundability_ Conceptions_ and Births
3049,10.2307/2807953,Population and Development Review,1984,W. Henry Mosley,Child Survival: Research and Policy
3050,10.2307/2648085,Demography,1999,John R. Wilmoth,Rectangularization Revisited: Variability of Age at Death within Human Populations
3051,10.2307/2060760,Demography,1975,George Martine,Volume_ Characteristics and Consequences of Internal Migration in Colombia
3052,10.2307/2061193,Demography,1982,Larry Bumpass,Intermediate Variables and Educational Differentials in Fertility in Korea and the Philippines
3053,10.2307/2061192,Demography,1982,Kenneth G. Manton,The Use of Mortality Time Series Data to Produce Hypothetical Morbidity Distributions and Project Mortality Trends
3054,10.2307/2174760,Population Studies,1992,Barthelemy Kuate Defo,Mortality and Attrition Processes in Longitudinal Studies in Africa: An Appraisal of the Iford Surveys
3055,10.2307/2060325,Demography,1967,Saw Swee-Hock,Errors in Chinese Age Statistics
3056,10.2307/2061414,Demography,1986,David P. Smith,Comment on Barbara Devaney's "An Analysis of Variations in U.S. Fertility and Female Labor Force Participation Trends"
3057,10.2307/2061850,Demography,1992,Karen Oppenheim Mason,The Perceived Impact of Child Care Costs on Women's Labor Supply and Fertility
3058,10.2307/1973198,Population and Development Review,1987,Henry George,Henry George on Disproof of the Malthusian Theory
3059,10.2307/1972356,Population and Development Review,1991,Gil Feiler,Migration and Recession: Arab Labor Mobility in the Middle East_ 1982-89
3060,10.2307/1972436,Population and Development Review,1980,,United States International Population Policy
3061,10.2307/2174279,Population Studies,1986,J. Chamie,Polygyny among Arabs
3062,10.2307/172511,Population and Development Review,1999,,The HIV/AIDS Epidemic at the End of 1999
3063,10.2307/2061262,Demography,1989,Linda G. Martin,Living Arrangements of the Elderly in Fiji_ Korea_ Malaysia_ and the Philippines
3064,10.2307/2060941,Demography,1981,Judith Blake,Family Size and the Quality of Children
3065,10.2307/1973111,Population and Development Review,1986,M. D. R. Evans,American Fertility Patterns: A Comparison of White and Nonwhite Cohorts Born 1903-56
3066,10.2307/1972125,Population and Development Review,1987,John Bongaarts,The Proximate Determinants of Exceptionally High Fertility
3067,10.2307/2060048,Demography,1964,H. Yuan Tien,The Demographic Significance of Organized Population Transfers in Communist China
3068,10.2307/2172309,Population Studies,1950,D. V. Glass,Introduction
3069,10.2307/2173447,Population Studies,1975,J. C. Barrett,Erratum: Systematic and Chance Components in Fertility Measurement
3070,10.2307/2060714,Demography,1975,Charles F. Westoff,The Yield of the Imperfect: The 1970 National Fertility Study
3071,10.2307/1515202,Demography,2003,Mohamed M. Ali,Trends in Reproductive Behavior among Young Single Women in Colombia and Peru: 1985-1999
3072,10.2307/1972598,Population and Development Review,1989,Robert D. Retherford,A Decomposition of Recent Fertility Changes in South Asia
3073,10.2307/2061041,Demography,1984,Neil G. Bennett,Mortality Estimation from Registered Deaths in Less Developed Countries
3074,10.2307/2061465,Demography,1991,Reynolds Farley,The New Census Question about Ancestry: What Did It Tell Us?
3075,10.2307/2173210,Population Studies,1971,Ansley J. Coale,Age Patterns of Marriage
3076,10.2307/2061570,Demography,1990,David N. Hamill,Determinants of Contraceptive Switching Behavior in Rural Sri Lanka
3077,10.2307/2060277,Demography,1968,Luis Leν̃ero Otero,The Mexican Urbanization Process and its Implications
3078,10.2307/25434585,Population and Development Review,2007,Vladimir M. Shkolnikov,The Concentration of Reproduction in Cohorts of Women in Europe and the United States
3079,10.2307/2060283,Demography,1968,Harry Levin,Commercial Distribution of Contraceptives in Developing Countries: Past_ Present_ and Future
3080,10.2307/3595731,Population Studies,2003,Monica Akinyi Magadi,The Inequality of Maternal Health Care in Urban Sub-Saharan Africa in the 1990s
3081,10.2307/2174830,Population Studies,1980,Helena Chojnacka,Errata: Polygyny and the Rate of Population Growth
3082,10.2307/25651481,Demography,2008,APARNA LHILA,PRENATAL HEALTH INVESTMENT DECISIONS: DOES THE CHILD'S SEX MATTER?
3083,10.2307/2172165,Population Studies,1955,Christopher Tietze,Age at Marriage and Educational Attainment in the United States
3084,10.2307/2060549,Demography,1972,Peter Uhlenberg,Demographic Correlates of Group Achievement: Contrasting Patterns of Mexican-Americans and Japanese-Americans
3085,10.2307/3038286,Demography,1997,Valerie Kincade Oppenheimer,Men's Career Development and Marriage Timing During a Period of Rising Inequality
3086,10.2307/2807925,Population and Development Review,1989,Geoffrey McNicoll,Social Organization and Ecological Stability Under Demographic Stress
3087,10.2307/2060861,Demography,1972,Ita I. Ekanem,A Further Note on the Relation Between Economic Development and Fertility
3088,10.2307/1972122,Population and Development Review,1987,Michael P. Todaro,Illegal Migration and US Immigration Reform: A Conceptual Framework
3089,10.2307/2175288,Population Studies,1992,Ann Bowman Jannetta,Famine Mortality in Nineteenth-Century Japan: The Evidence from a Temple Death Register
3090,10.2307/2061880,Demography,1994,,Errata
3091,10.2307/2648089,Demography,1999,Michael J. Brien,Interrelated Family-Building Behaviors: Cohabitation_ Marriage_ and Nonmarital Conception
3092,10.2307/2173534,Population Studies,1979,E. Hazel Denton,Economic Determinants of Fertility in Jamaica
3093,10.2307/2172903,Population Studies,1969,D. Peter Mazur,Expectancy of Life at Birth in 36 Nationalities of the Soviet Union: 1958-60
3094,10.2307/172346,Population and Development Review,1999,Chris Wilson,Evolutionary Theory and Historical Fertility Change
3095,10.2307/3088350,Demography,2001,Richard Alba,How Enduring Were the Inequalities among European Immigrant Groups in the United States?
3096,10.2307/2061484,Demography,1988,Harvey M. Choldin,Government Statistics: The Conflict between Research and Privacy
3097,10.2307/1972264,Population and Development Review,1975,,International Women's Year: Population and the Mexico Conference
3098,10.2307/2175224,Population Studies,1993,Nicky Hart,Famine_ Maternal Nutrition and Infant Mortality: A Re-Examination of the Dutch Hunger Winter
3099,10.2307/2808111,Population and Development Review,1982,Oey Astra Meesook,A Note on Income Distribution and the Life Cycle of Individuals
3100,10.2307/1973573,Population and Development Review,1988,Jeffrey G. Williamson,Migrant Selectivity_ Urbanization_ and Industrial Revolutions
3101,10.2307/2172575,Population Studies,1949,H. S. Booker,Income Tax and Family Allowances in Britain
3102,10.2307/2172846,Population Studies,1963,Robert Horvath,The Scientific Study of Mortality in Hungary before the Modern Statistical Era
3103,10.2307/2174332,Population Studies,1987,James W. Vaupel,A Rejoinder to Mitra
3104,10.2307/1972690,Population and Development Review,1982,Graeme J. Hugo,Circular Migration in Indonesia
3105,10.2307/2174270,Population Studies,1989,N. F. R. Crafts,Duration of Marriage_ Fertility and Women's Employment Opportunities in England and Wales in 1911
3106,10.2307/2060693,Demography,1971,,Authors' Correction Notice
3107,10.2307/2060731,Demography,1975,Joel E. Cohen,Childhood Mortality_ Family Size and Birth Order in Pre-Industrial Europe
3108,10.2307/2060979,Demography,1982,James J. Collins,The Contribution of Medical Measures to the Decline of Mortality From Respiratory Tuberculosis: An Age-Period-Cohort Model
3109,10.2307/1972377,Population and Development Review,1982,Kingsley Davis,Demographic Foundations of New Sex Roles
3110,10.2307/2061052,Demography,1981,Hania Zlotnik,The Use of Hypothetical Cohorts in Estimating Demographic Parameters under Conditions of Changing Fertility and Mortality
3111,10.2307/2175195,Population Studies,1980,D. Schwartz,Fecundability_ Coital Frequency and the Viability of Ova
3112,10.2307/20616489,Demography,2009,Carlos Bozzoli,Adult Height and Childhood Disease
3113,10.2307/2061475,Demography,1988,Gray Swicegood,Language usage and Fertility in the Mexican-Origin Population of the United States
3114,10.2307/2173505,Population Studies,1975,Dallas F. S. Fernando,Changing Nuptiality Patterns in Sri Lanka 1901-1971
3115,10.2307/2808120,Population and Development Review,1998,Ron Lesthaeghe,On Theory Development: Applications to the Study of Family Formation
3116,10.2307/3401499,Population and Development Review,2004,André J. Caetano,Politics and Female Sterilization in Northeast Brazil
3117,10.2307/2060090,Demography,1969,William F. Stinner,Southern Negro Migration: Social and Economic Components of an Ecological Model
3118,10.2307/2173081,Population Studies,1971,A. Perez,Timing and Sequence of Resuming Ovulation and Menstruation after Childbirth
3119,10.2307/2173741,Population Studies,1976,Helen Ware,Fertility and Work-force Participation: The Experience of Melbourne Wives
3120,10.2307/2172583,Population Studies,1964,T. Ferguson,Public Health in Britain in the Climate of the Nineteenth Century
3121,10.2307/1972731,Population and Development Review,1980,Samuel S. Lieberman,Afghanistan: Population and Development in the "Land of Insolence"
3122,10.2307/2137378,Population and Development Review,1997,Zhongwei Zhao,Deliberate Birth Control Under a High-Fertility Regime: Reproductive Behavior in China Before 1970
3123,10.2307/2173846,Population Studies,1978,Thomas J. Espenshade,How a Trend Towards a Stationary Population Affects Consumer Demand
3124,10.2307/2060144,Demography,1965,James W. Brackett,Report of the One-Day Seminar on Computer Applications to Demography Held at the Bureau of the Census on July 17_ 1964
3125,10.2307/2061842,Demography,1993,Arline T. Geronimus,The Socioeconomic Costs of Teenage Childbearing: Evidence and Interpretation
3126,10.2307/2061204,Demography,1978,Clifford C. Clogg,Adjustment of Rates Using Multiplicative Models
3127,10.2307/2174896,Population Studies,1994,Nico Keilman,Translation Formulae for Non-repeatable Events
3128,10.2307/4147351,Demography,2005,Nancy Folbre,By What Measure? Family Time Devoted to Children in the United States
3129,10.2307/2174139,Population Studies,1984,M. Vlassoff,A Rejoinder to S. K. Datta and J. B. Nugent
3130,10.2307/2061051,Demography,1981,Julie S. DaVanzo,Return and Other Sequences of Migration in the United States
3131,10.2307/2060091,Demography,1969,Surinder K. Mehta,Patterns of Residence in Poona_ India_ by Caste and Religion: 1822-1965
3132,10.2307/2137439,Population and Development Review,1996,,Joan Robinson on Population and Development
3133,10.2307/2137765,Population and Development Review,1995,,Pope John Paul II on Abortion_ Contraception_ and Euthanasia
3134,10.2307/2174162,Population Studies,1982,Maria Sophia Lengyel Cook,The Relevance of the Developing Countries to Demographic Transition Theory: Further Lessons from the Hungarian Experience
3135,10.2307/20616474,Demography,2009,Albert Chevan,Revisiting Das Gupta: Refinement and Extension of Standardization and Decomposition
3136,10.2307/2174662,Population Studies,1981,S. Diaz-Briquets,Determinants of Mortality Transition in Developing Countries Before and After the Second World War: Some Evidence from Cuba
3137,10.2307/2060147,Demography,1970,Murray Gendell,Fertility and Economic Activity of Women in Guatemala City_ 1964
3138,10.2307/2807955,Population and Development Review,1984,Reynaldo Martorell,Malnutrition_ Morbidity_ and Mortality
3139,10.2307/3401502,Population and Development Review,2004,,A. M. Carr-Saunders on Eugenics and the Declining Birth Rate
3140,10.2307/4148210,Population Studies,2004,George Alter,Height_ Frailty_ and the Standard of Living: Modelling the Effects of Diet and Disease on Declining Mortality and Increasing Height
3141,10.2307/1973576,Population and Development Review,1988,Paul Demeny,Re-Linking Fertility Behavior and Economic Security in Old Age: Reply to Simon
3142,10.2307/2173110,Population Studies,1964,,Appendix 4: Representatives of the Cohorts
3143,10.2307/20058951,Population and Development Review,2006,Paul Demeny,The Political Demography of the World System_ 2000-2050
3144,10.2307/2061713,Demography,1996,Dowell Myers,Immigration Cohorts and Residential Overcrowding in Southern California
3145,10.2307/2807980,Population and Development Review,1998,Mancur Olson,Mancur Olson on the Key to Economic Development
3146,10.2307/3004016,Demography,1998,Martin Watts,Occupational Gender Segregation: Index Measurement and Econometric Modeling
3147,10.2307/25749224,Population and Development Review,2010,Jessica Y. Ho,US Mortality in an International Context: Age Variations
3148,10.2307/1973709,Population and Development Review,1989,[Denis Diderot],Diderot's Encyclopedie on Population
3149,10.2307/2061460,Demography,1991,David M. Blau,Child Care Demand and Labor Supply of Young Mothers over Time
3150,10.2307/4148213,Population Studies,2004,Vladimir M. Shkolnikov,The Peculiar Pattern of Mortality of Jews in Moscow_ 1993-95
3151,10.2307/2173535,Population Studies,1979,M. Rafiq,Some Evidence on Recent Demographic Changes in Papua New Guinea
3152,10.2307/1972857,Population and Development Review,1978,Jose Alberto M. de Carvalho,Mortality_ Income Distribution_ and Rural-Urban Residence in Brazil
3153,10.2307/2061848,Demography,1992,Etienne van de Walle,Fertility Transition_ Conscious Choice_ and Numeracy
3154,10.2307/2175188,Population Studies,1980,A. Romaniuk,Increase in Natural Fertility During the Early Stages of Modernization: Evidence from an African Case Study_ Zaire
3155,10.2307/2172910,Population Studies,1969,S. A. Meegama,A Reply
3156,10.2307/1973405,Population and Development Review,1989,Paul W. Turke,Evolution and the Demand for Children
3157,10.2307/2173742,Population Studies,1976,Douglas S. Massey,Economic Development and Fertility: A Methodological Re-evaluation
3158,10.2307/2172043,Population Studies,1960,S. H. Cousens,Regional Death Rates in Ireland during the Great Famine_ from 1846 to 1851
3159,10.2307/2061636,Demography,1987,Prithwis Das Gupta,Comment on Suzanne M. Bianchi and Nancy Rytina's "The Decline in Occupational Sex Segregation During the 1970s: Census and CPS Comparisons"
3160,10.2307/2175325,Population Studies,1995,Lin Jiang,Changing Kinship Structure and its Implications for Old-Age Support in Urban and Rural China
3161,10.2307/2172843,Population Studies,1963,Kumudini Dandekar,Vasectomy Camps in Maharashtra
3162,10.2307/2061064,Demography,1985,Lawrence A. Brown,Spatial Variation in Migration Processes and Development: A Costa Rican Example of Conventional Modeling Augmented by the Expansion Method
3163,10.2307/2938415,Population and Development Review,1993,James C. Riley,Understanding Morbidity Change: Comment on an Article by Murray and Chen
3164,10.2307/2060591,Demography,1977,M. Ali Khan,Son Preference and the Demand for Additional Children in Pakistan
3165,10.2307/2061078,Demography,1979,Ronald F. Chamblee,Validation of an Inferential Approach for the Measurement of Illegitimacy
3166,10.2307/25434658,Population and Development Review,2008,Maria Letizia Tanturri,Childless or Childfree? Paths to Voluntary Childlessness in Italy
3167,10.2307/1973082,Population and Development Review,1984,Judith Banister,An Analysis of Recent Data on the Population of China
3168,10.2307/172455,Population and Development Review,2000,Ronald Lee,Long-Term Population Projections and the US Social Security System
3169,10.2307/2060073,Demography,1966,John B. Wyon,Delayed Marriage and Prospects for Fewer Births in Punjab Villages
3170,10.2307/3115224,Population and Development Review,2003,Susan Greenhalgh,Science_ Modernity_ and the Making of China's One-Child Policy
3171,10.2307/2174581,Population Studies,1986,Mead Cain,The Consequences of Reproductive Failure: Dependence_ Mobility_ and Mortality among the Elderly of Rural South Asia
3172,10.2307/2174711,Population Studies,1992,Evert van Imhoff,A General Characterization of Consistency Algorithms in Multidimensional Demographic Projection Models
3173,10.2307/2173168,Population Studies,1965,,Errata: Predicting the Time Required
3174,10.2307/2172523,Population Studies,1949,D. A. Percival,Some Features of a Peasant Population in the Middle East
3175,10.2307/1972402,Population and Development Review,1982,[Eileen N. Hennessy],Immigration Policy of West Germany
3176,10.2307/2060470,Demography,1974,Arthur A. Campbell,Beyond the Demographic Transition
3177,10.2307/2060798,Demography,1976,Nancy J. Davis,The Continuation of Education after Marriage among Women in the United States: 1970
3178,10.2307/2061820,Demography,1992,Michael P. Murray,Census Adjustment and the Distribution of Federal Spending
3179,10.2307/3401501,Population and Development Review,2004,Brian Goesling,The Trend in International Health Inequality
3180,10.2307/2173613,Population Studies,1976,Henri Leridon,Facts and Artifacts in the Study of Intra-uterine Mortality: A Reconsideration from Pregnancy Histories
3181,10.2307/3092980,Population Studies,2002,Jacques Vallin,A New Estimate of Ukrainian Population Losses during the Crises of the 1930s and 1940s
3182,10.2307/2808074,Population and Development Review,1990,Eugene Zavarin,Comment: On the Medicinal Value of Tropical Ecosystems
3183,10.2307/2174994,Population Studies,1991,C. H. Lee,Regional Inequalities in Infant Mortality in Britain_ 1861-1971: Patterns and Hypotheses
3184,10.2307/2060848,Demography,1973,S. Mitra,On the Efficiency of the Estimates of Life Table Functions
3185,10.2307/2648094,Demography,2000,Susan K. Lewis,Educational Assortative Mating across Marriage Markets: Non-Hispanic Whites in the United States
3186,10.2307/2137716,Population and Development Review,1996,Ronald R. Rindfuss,Women_ Work_ and Children: Behavioral and Attitudinal Change in the United States
3187,10.2307/1973110,Population and Development Review,1986,Yew-Kwang Ng,On the Welfare Economics of Population Control
3188,10.2307/20616467,Demography,2009,Markus Gangl,Motherhood_ Labor Force Behavior_ and Women's Careers: An Empirical Assessment of the Wage Penalty for Motherhood in Britain_ Germany_ and the United States
3189,10.2307/1971758,Population and Development Review,1977,Michael P. Todaro,Development Policy and Population Growth: A Framework for Planners
3190,10.2307/4137227,Demography,2007,Francesco C. Billari,Should I Stay or Should I Go? The Impact of Age Norms on Leaving Home
3191,10.2307/3115220,Population and Development Review,2000,Robert W. Fogel,The Extension of Life in Developed Countries and Its Implications for Social Policy in the Twenty-First Century
3192,10.2307/2060069,Demography,1966,Judith Blake,Ideal Family Size Among White Americans: A Quarter of a Century's Evidence
3193,10.2307/2060452,Demography,1977,Joyce A. Mamon,The Use of Public Transportation in Urban Areas: Toward a Causal Model
3194,10.2307/3088303,Demography,2001,Arline T. Geronimus,Inequality in Life Expectancy_ Functional Status_ and Active Life Expectancy across Selected Black and White Populations in the United States
3195,10.2307/2061440,Demography,1986,Ian Timaeus,An Assessment of Methods for Estimating Adult Mortality from Two Sets of Data on Maternal Orphanhood
3196,10.2307/2060199,Demography,1968,David M. Heer,Mortality Level_ Desired Family Size_ and Population Increase
3197,10.2307/2695129,Population and Development Review,2001,Robert Schoen,The Retrenchment of Marriage: Results from Marital Status Life Tables for the United States_ 1995
3198,10.2307/2173610,Population Studies,1976,Anne Retel-Laurentin,Infant Mortality and Birth Intervals
3199,10.2307/2061910,Demography,1994,Julie DaVanzo,Living Arrangements of Older Malaysians: Who Coresides with their Adult Children?
3200,10.2307/2172946,Population Studies,1964,L. Henry,Some Comments on W. H. James's Article
3201,10.2307/20058900,Population and Development Review,2006,Zhongwei Zhao,Income Inequality_ Unequal Health Care Access_ and Mortality in China
3202,10.2307/1972272,Population and Development Review,1975,Jason L. Finkle,The Politics of Bucharest: Population_ Development_ and the New International Economic Order
3203,10.2307/27643445,Population Studies,2008,Laurent Toulemon,The Mortality Impact of the August 2003 Heat Wave in France: Investigating the 'Harvesting' Effect and Other Long-Term Consequences
3204,10.2307/2807908,Population and Development Review,1986,Thomas J. Espenshade,Population Dynamics with Immigration and Low Fertility
3205,10.2307/25651488,Demography,2010,MARY MCENIRY,EARLY LIFE EXPOSURES AND THE OCCURRENCE AND TIMING OF HEART DISEASE AMONG THE OLDER ADULT PUERTO RICAN POPULATION
3206,10.2307/1973245,Population and Development Review,1985,Ester Boserup,Economic and Demographic Interrelationships in sub-Saharan Africa
3207,10.2307/1972273,Population and Development Review,1975,Bernard Berelson,The World Population Plan of Action: Where Now?
